paper_id,pub_year,cited_by,author_ids
https://openalex.org/W3116233757,2020,14,"['https://openalex.org/A5079644451', 'https://openalex.org/A5089287594', 'https://openalex.org/A5023364449', 'https://openalex.org/A5062365263', 'https://openalex.org/A5073327085', 'https://openalex.org/A5087437068', 'https://openalex.org/A5100355277']"
https://openalex.org/W2914657261,2019,14,"['https://openalex.org/A5040747504', 'https://openalex.org/A5100397986', 'https://openalex.org/A5062365263', 'https://openalex.org/A5101439558', 'https://openalex.org/A5003854328', 'https://openalex.org/A5044100655', 'https://openalex.org/A5100355277']"
https://openalex.org/W4238547672,2019,14,"['https://openalex.org/A5091759851', 'https://openalex.org/A5008439962', 'https://openalex.org/A5068556395', 'https://openalex.org/A5025717153', 'https://openalex.org/A5087990460', 'https://openalex.org/A5072653864', 'https://openalex.org/A5086926559', 'https://openalex.org/A5078505870', 'https://openalex.org/A5103494020']"
https://openalex.org/W3004730302,2020,13,"['https://openalex.org/A5006314379', 'https://openalex.org/A5008439962', 'https://openalex.org/A5026949484', 'https://openalex.org/A5068556395', 'https://openalex.org/A5017914184']"
https://openalex.org/W3083408402,2020,13,"['https://openalex.org/A5062365263', 'https://openalex.org/A5079644451', 'https://openalex.org/A5040747504', 'https://openalex.org/A5003854328', 'https://openalex.org/A5100355277']"
https://openalex.org/W3160665248,2021,12,"['https://openalex.org/A5013841168', 'https://openalex.org/A5014394213', 'https://openalex.org/A5080791781']"
https://openalex.org/W3080403679,2020,12,"['https://openalex.org/A5062365263', 'https://openalex.org/A5100355277', 'https://openalex.org/A5014274752']"
https://openalex.org/W3095877734,2020,12,"['https://openalex.org/A5051133978', 'https://openalex.org/A5091759851', 'https://openalex.org/A5008439962', 'https://openalex.org/A5029930130', 'https://openalex.org/A5075534027', 'https://openalex.org/A5110280556', 'https://openalex.org/A5108264915', 'https://openalex.org/A5108689946']"
https://openalex.org/W3148886682,2021,11,"['https://openalex.org/A5072345432', 'https://openalex.org/A5062365263', 'https://openalex.org/A5100359025', 'https://openalex.org/A5015873569', 'https://openalex.org/A5029925982', 'https://openalex.org/A5100355277']"
https://openalex.org/W3162129358,2021,11,"['https://openalex.org/A5006314379', 'https://openalex.org/A5026949484', 'https://openalex.org/A5017914184', 'https://openalex.org/A5090637102', 'https://openalex.org/A5008439962', 'https://openalex.org/A5077163579', 'https://openalex.org/A5068556395']"
