id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5061723972,Federico Zimmerman,https://api.openalex.org/works?filter=author.id:A5061723972,1,1,AR
https://openalex.org/A5100746010,Yixuan Liu,https://api.openalex.org/works?filter=author.id:A5100746010,29,213,CN
https://openalex.org/A5037938374,Alessandro Piazza,https://api.openalex.org/works?filter=author.id:A5037938374,18,83,US
https://openalex.org/A5057805246,Tristram J. Alexander,https://api.openalex.org/works?filter=author.id:A5057805246,25,112,AU
https://openalex.org/A5011732280,Masanori Takano,https://api.openalex.org/works?filter=author.id:A5011732280,8,70,JP
https://openalex.org/A5064274071,David Kempe,https://api.openalex.org/works?filter=author.id:A5064274071,44,192,US
https://openalex.org/A5092145709,Brooke Perreault,https://api.openalex.org/works?filter=author.id:A5092145709,1,4,US
https://openalex.org/A5102448448,Tianyu Du,https://api.openalex.org/works?filter=author.id:A5102448448,19,84,CN
https://openalex.org/A5002041772,Dashun Wang,https://api.openalex.org/works?filter=author.id:A5002041772,34,158,US
https://openalex.org/A5026721037,Jennifer Allen,https://api.openalex.org/works?filter=author.id:A5026721037,24,77,DE
https://openalex.org/A5081114479,Likun Cao,https://api.openalex.org/works?filter=author.id:A5081114479,13,25,CN
https://openalex.org/A5091751818,Volker Stocker,https://api.openalex.org/works?filter=author.id:A5091751818,8,72,DE
https://openalex.org/A5102800569,Wenrui Huang,https://api.openalex.org/works?filter=author.id:A5102800569,35,217,US
https://openalex.org/A5060864902,Atom Sonoda,https://api.openalex.org/works?filter=author.id:A5060864902,2,11,JP
https://openalex.org/A5086308811,Mauro Martinelli,https://api.openalex.org/works?filter=author.id:A5086308811,10,37,IT
https://openalex.org/A5012164081,Haoning Xue,https://api.openalex.org/works?filter=author.id:A5012164081,4,15,US
https://openalex.org/A5030641600,Babak Heydari,https://api.openalex.org/works?filter=author.id:A5030641600,20,97,MX
https://openalex.org/A5083931769,Jiakai Shi,https://api.openalex.org/works?filter=author.id:A5083931769,3,9,CA
https://openalex.org/A5033208803,Tom Theile,https://api.openalex.org/works?filter=author.id:A5033208803,4,18,DE
https://openalex.org/A5038367813,Neil Sehgal,https://api.openalex.org/works?filter=author.id:A5038367813,13,34,US
https://openalex.org/A5028392704,Harry Yaojun Yan,https://api.openalex.org/works?filter=author.id:A5028392704,5,23,US
https://openalex.org/A5050101991,Martin Hilbert,https://api.openalex.org/works?filter=author.id:A5050101991,26,159,US
https://openalex.org/A5091233601,Kelun Lu,https://api.openalex.org/works?filter=author.id:A5091233601,2,3,US
https://openalex.org/A5071615041,Dora Zhao,https://api.openalex.org/works?filter=author.id:A5071615041,5,15,US
https://openalex.org/A5077347349,Jennifer M. Krebsbach,https://api.openalex.org/works?filter=author.id:A5077347349,2,19,US
https://openalex.org/A5102733770,Anna Seo Gyeong Choi,https://api.openalex.org/works?filter=author.id:A5102733770,2,5,US
https://openalex.org/A5031702972,Hugo Subtil,https://api.openalex.org/works?filter=author.id:A5031702972,1,4,US
https://openalex.org/A5037638116,Isabel O. Gallegos,https://api.openalex.org/works?filter=author.id:A5037638116,3,6,US
https://openalex.org/A5015670174,Masahiro Kazama,https://api.openalex.org/works?filter=author.id:A5015670174,11,45,US
https://openalex.org/A5040094074,Woo‐Sung Jung,https://api.openalex.org/works?filter=author.id:A5040094074,25,170,KR
https://openalex.org/A5008880747,Rodrigo Dorantes-Gilardi,https://api.openalex.org/works?filter=author.id:A5008880747,6,16,MX
https://openalex.org/A5010318820,Takayuki Mizuno,https://api.openalex.org/works?filter=author.id:A5010318820,29,227,JP
https://openalex.org/A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,48,284,US
https://openalex.org/A5074354806,Ádám Stefkovics,https://api.openalex.org/works?filter=author.id:A5074354806,5,37,HU
https://openalex.org/A5020380520,Zhaoyin Chu,https://api.openalex.org/works?filter=author.id:A5020380520,0,2,CN
https://openalex.org/A5006208781,Yu Zhou,https://api.openalex.org/works?filter=author.id:A5006208781,57,308,CN
https://openalex.org/A5064171835,Mathias Wullum Nielsen,https://api.openalex.org/works?filter=author.id:A5064171835,22,62,DK
https://openalex.org/A5066730320,J. Nathan Matias,https://api.openalex.org/works?filter=author.id:A5066730320,13,62,US
https://openalex.org/A5019198452,Kushagra Tiwari,https://api.openalex.org/works?filter=author.id:A5019198452,1,1,IN
https://openalex.org/A5013670125,David Lazer,https://api.openalex.org/works?filter=author.id:A5013670125,59,449,US
https://openalex.org/A5004596083,Fırat Duruşan,https://api.openalex.org/works?filter=author.id:A5004596083,5,20,TR
https://openalex.org/A5016014168,Maxime Derex,https://api.openalex.org/works?filter=author.id:A5016014168,15,42,FR
https://openalex.org/A5080592381,Erdem Yörük,https://api.openalex.org/works?filter=author.id:A5080592381,17,94,GB
https://openalex.org/A5054351096,Lin Gan,https://api.openalex.org/works?filter=author.id:A5054351096,57,278,CN
https://openalex.org/A5029149122,Megan M. Wisniewski,https://api.openalex.org/works?filter=author.id:A5029149122,1,1,US
https://openalex.org/A5063223563,Paramveer S. Dhillon,https://api.openalex.org/works?filter=author.id:A5063223563,17,69,US
https://openalex.org/A5041494411,Eugene Jang,https://api.openalex.org/works?filter=author.id:A5041494411,17,46,US
https://openalex.org/A5056423601,Rhianne W. Hoek,https://api.openalex.org/works?filter=author.id:A5056423601,3,8,NL
https://openalex.org/A5059509038,Silvia Giordano,https://api.openalex.org/works?filter=author.id:A5059509038,74,551,IT
https://openalex.org/A5017040952,Simone Centellegher,https://api.openalex.org/works?filter=author.id:A5017040952,5,25,IT
https://openalex.org/A5047413956,Levin Brinkmann,https://api.openalex.org/works?filter=author.id:A5047413956,3,7,DE
https://openalex.org/A5106620976,Yujin Potter,https://api.openalex.org/works?filter=author.id:A5106620976,2,4,US
https://openalex.org/A5011277325,Hideo Yasumoto,https://api.openalex.org/works?filter=author.id:A5011277325,6,11,JP
https://openalex.org/A5100406825,Xinxin Wang,https://api.openalex.org/works?filter=author.id:A5100406825,33,248,CN
https://openalex.org/A5004151123,Ankit Aich,https://api.openalex.org/works?filter=author.id:A5004151123,4,13,DK
https://openalex.org/A5070544413,Pelin Bicen,https://api.openalex.org/works?filter=author.id:A5070544413,10,45,US
https://openalex.org/A5102252640,Xuzhen Yang,https://api.openalex.org/works?filter=author.id:A5102252640,1,3,CN
https://openalex.org/A5081248593,Natascha Just,https://api.openalex.org/works?filter=author.id:A5081248593,17,118,CH
https://openalex.org/A5004570172,Andrew P. Davis,https://api.openalex.org/works?filter=author.id:A5004570172,9,31,US
https://openalex.org/A5022638781,Pranav Goel,https://api.openalex.org/works?filter=author.id:A5022638781,7,40,US
https://openalex.org/A5039940068,Charles Axelsson,https://api.openalex.org/works?filter=author.id:A5039940068,4,4,IT
https://openalex.org/A5008551833,Derek Ouyang,https://api.openalex.org/works?filter=author.id:A5008551833,6,32,US
https://openalex.org/A5001097796,Rajvardhan Oak,https://api.openalex.org/works?filter=author.id:A5001097796,11,27,US
https://openalex.org/A5100443683,Lin Chen,https://api.openalex.org/works?filter=author.id:A5100443683,19,60,CN
https://openalex.org/A5067625837,Ralph Schroeder,https://api.openalex.org/works?filter=author.id:A5067625837,45,284,GB
https://openalex.org/A5001994692,Esin Durmus,https://api.openalex.org/works?filter=author.id:A5001994692,20,56,US
https://openalex.org/A5017437256,Frank Mangold,https://api.openalex.org/works?filter=author.id:A5017437256,7,31,DE
https://openalex.org/A5084047654,Riley Tucker,https://api.openalex.org/works?filter=author.id:A5084047654,15,109,US
https://openalex.org/A5066288697,Nathan Bartley,https://api.openalex.org/works?filter=author.id:A5066288697,6,16,US
https://openalex.org/A5007924006,Aria Pessianzadeh,https://api.openalex.org/works?filter=author.id:A5007924006,1,2,US
https://openalex.org/A5035455593,Laurent Hébert‐Dufresne,https://api.openalex.org/works?filter=author.id:A5035455593,31,203,US
https://openalex.org/A5111253375,Min-heng Wang,https://api.openalex.org/works?filter=author.id:A5111253375,0,2,US
https://openalex.org/A5085986638,Tiago Ventura,https://api.openalex.org/works?filter=author.id:A5085986638,9,52,US
https://openalex.org/A5009445587,Matt Bowden,https://api.openalex.org/works?filter=author.id:A5009445587,8,128,IE
https://openalex.org/A5056041083,Ozgur Can Seckin,https://api.openalex.org/works?filter=author.id:A5056041083,2,7,US
https://openalex.org/A5044033735,Theo Araujo,https://api.openalex.org/works?filter=author.id:A5044033735,26,111,NL
https://openalex.org/A5055160277,Timothy G. Dorr,https://api.openalex.org/works?filter=author.id:A5055160277,2,10,NL
https://openalex.org/A5003974631,Yuanyuan Wu,https://api.openalex.org/works?filter=author.id:A5003974631,27,92,CN
https://openalex.org/A5058732791,Andreas Bjerre-Nielsen,https://api.openalex.org/works?filter=author.id:A5058732791,8,33,DK
https://openalex.org/A5017708876,Katherine Van Koevering,https://api.openalex.org/works?filter=author.id:A5017708876,2,10,US
https://openalex.org/A5090329397,Zhuangyuan Fan,https://api.openalex.org/works?filter=author.id:A5090329397,8,15,HK
https://openalex.org/A5055926787,Guangyuan Weng,https://api.openalex.org/works?filter=author.id:A5055926787,5,33,CN
https://openalex.org/A5068201653,Sara Bonati,https://api.openalex.org/works?filter=author.id:A5068201653,7,42,IT
https://openalex.org/A5082353608,Christian Zingg,https://api.openalex.org/works?filter=author.id:A5082353608,4,7,CH
